Variable,RFImportance
95.7_111.0625m/z,0.0
73.67_111.0625m/z,0.00024362657691951115
117.14_111.0626m/z,0.0
137.42_111.0624m/z,0.0
154.92_111.0627m/z,0.0
274.78_111.0799m/z,0.0
103.44_111.0912m/z,0.00014163242919665488
45.89_111.0912m/z,0.0
120.38_111.0912m/z,0.0
89.29_111.0913m/z,0.0
66.97_112.0108m/z,0.0
79.52_112.0107m/z,0.0
78.43_112.021m/z,0.0
193.88_112.0211m/z,0.0
137.79_112.0211m/z,0.0
126.96_112.0212m/z,0.0
73.63_112.0391m/z,9.820993987649213e-05
119.39_112.039m/z,0.0
108.52_112.039m/z,0.0
159.82_112.039m/z,0.0
42.82_112.039m/z,0.0
164.19_112.0493m/z,0.0
38.05_112.0501m/z,0.0
88.03_112.0502m/z,0.0
131.19_112.0502m/z,0.0
51.79_112.0501m/z,0.0
188.09_112.0501m/z,0.0
37.0_112.0579m/z,0.00019814237771515419
104.48_112.0753m/z,0.0
161.22_112.0753m/z,0.0
89.01_112.0864m/z,0.0
81.89_112.0866m/z,0.0
50.84_112.0865m/z,0.0
353.62_112.1116m/z,0.0
112.57_112.1116m/z,0.0
49.83_113.0229m/z,0.0
142.23_113.023m/z,0.0
82.69_113.0231m/z,0.0
90.47_113.0231m/z,0.0
120.7_113.0231m/z,0.00016476618578231203
39.22_113.0232m/z,0.0
84.77_113.0342m/z,0.0
118.81_113.0342m/z,0.0
58.27_113.0342m/z,0.0
72.91_113.0347m/z,0.0
47.45_113.0341m/z,0.0
60.14_113.0423m/z,0.0
171.11_113.0415m/z,0.0
131.17_113.0529m/z,0.0
88.02_113.0529m/z,0.0
51.62_113.0564m/z,0.0
136.45_113.0594m/z,0.0
81.86_113.0705m/z,0.0
38.22_113.0705m/z,0.0
161.18_113.0783m/z,0.0
39.79_113.0817m/z,1.1312308436844653e-05
135.61_114.0004m/z,0.0
51.53_114.0294m/z,0.0
118.99_114.031m/z,0.0
288.89_114.0368m/z,0.0
545.48_114.0369m/z,0.0
116.26_114.0369m/z,0.0
94.41_114.0548m/z,0.0
76.0_114.0551m/z,5.4822718234470174e-05
65.1_114.0554m/z,0.0
92.63_114.0655m/z,0.0
39.77_114.0851m/z,0.0
142.3_114.0909m/z,0.0
122.9_114.091m/z,0.0
181.14_114.0909m/z,0.0
42.49_114.091m/z,0.0
56.88_114.091m/z,0.0
225.7_114.0909m/z,0.0
51.53_114.1133m/z,0.0
412.76_114.1273m/z,0.00013647144681627437
54.2_114.1272m/z,0.0
221.92_114.1271m/z,0.0
51.53_114.146m/z,0.0
51.5_114.2039m/z,0.0
51.51_114.2329m/z,0.0
51.48_114.258m/z,0.0
54.03_115.0207m/z,0.0
243.13_115.0208m/z,0.0
107.57_115.0387m/z,8.938731679155321e-05
91.9_115.0387m/z,0.0
77.68_115.0389m/z,0.0
139.03_115.0386m/z,0.0
58.43_115.0496m/z,0.0
315.76_115.0539m/z,0.0
165.43_115.0538m/z,0.00022846815409862498
364.59_115.0538m/z,0.0
120.51_115.0537m/z,0.0
393.07_115.0538m/z,0.0
101.91_115.0538m/z,0.0
194.58_115.0538m/z,0.0
185.23_115.0537m/z,0.0
147.39_115.0537m/z,0.0
406.25_115.0538m/z,0.0
379.98_115.0538m/z,0.0
433.99_115.0538m/z,0.00010965958728093517
65.07_115.0576m/z,0.0
51.51_115.0652m/z,1.2318556555020145e-05
60.67_115.0747m/z,0.0
202.04_115.0748m/z,0.0
161.68_115.0746m/z,0.0
81.87_115.0861m/z,0.0
104.58_115.0861m/z,0.0
150.08_115.0861m/z,0.0
42.49_115.0941m/z,0.0
142.38_115.0938m/z,0.0
56.92_115.094m/z,0.0
